UID,NAME,MODEL,DESCRIPTION,PRICE,BRAND,SIZE,Age Group
D1DC6E07,ACG AIR ZOOM GAIADOME GORE TEX SHOES,JWxGVN ,"Conquer any terrain in the Nike ACG Air Zoom Gaiadome Gore-Tex, boasting a futuristic design with robust Gore-Tex waterproofing.  Its vibrant color-blocking and innovative Zoom Air cushioning provide superior comfort and performance for adventurous souls seeking all-day outdoor protection. Ideal for hikers and urban explorers alike.",319700,Nike,"6, 12",Adult
9C430C26,ACG LOWCATE MENS SHOES,7Px0Lq ,"The Nike ACG Lowcate men's shoe boasts a rugged yet sleek design, blending durable canvas and suede with a grippy outsole.  Its minimalist aesthetic and comfortable fit are perfect for urban explorers and those seeking versatile, all-day style, ideal for navigating city streets or light trails.",371280,Nike,"8, 10, 12",Adult
0042CF00,ACG LOWCATE X FUTURE MOVEMENT MENS SHOES,sKqFzL ,"The Nike ACG Lowcate x Future Movement men's shoe boasts a rugged, yet stylish, design.  Its robust construction, featuring durable materials and a unique tread pattern, promises superior grip and all-terrain adaptability. Ideal for the modern adventurer seeking both comfort and performance, these shoes blend seamlessly with urban and outdoor lifestyles.",52380,Nike,"10, 11",Adult
B203E05B,ACG MOUNTAIN FLY LOW GORE TEX SE MENS SHOES,Xc5LHq ,"Conquer any terrain in the Nike ACG Mountain Fly Low Gore-Tex.  Its sleek, low-profile design boasts Gore-Tex waterproof protection and a rugged outsole for superior grip.  Ideal for the adventurous urban explorer or serious hiker, these shoes blend style and performance seamlessly.",58660,Nike,"5, 6, 7, 8, 11",Adult
C6713E93,AIR ADJUST FORCE  WOMENS SHOES,cHnLdK ,"The Air Adjust Force 2023 women's shoe boasts a sleek, futuristic design with breathable mesh and supportive overlays.  Its adjustable air cushioning system promises personalized comfort, ideal for active women prioritizing both style and performance during workouts or everyday wear.  The vibrant color palette adds a modern touch.",492810,Nike,"4, 6, 7, 8, 12",Adult
9DA0E309,AIR CROSS TRAINER  LOW MENS SHOES,l9MqNc ,"Dominate your workout in the Air Cross Trainer 3 Low.  Its sleek, low-profile design boasts breathable mesh and supportive overlays for enhanced comfort and stability.  Ideal for cross-training and everyday wear, these durable shoes offer superior cushioning and responsiveness for men seeking performance and style.",142830,Nike,"5, 6, 9, 12",Adult
B2077989,AIR DELDON LEGACY EASY ON OFF BASKETBALL SHOES,mWJmPk ,"Dominate the court in the Air-Deldon Legacy basketball shoes.  Their sleek, low-profile design boasts breathable mesh and responsive cushioning for superior comfort and agility.  Easy on/off functionality makes them practical for quick changes. Ideal for players seeking performance and style.",41000,Nike,"7, 8, 9, 10",Adult
D7C6021F,AIR FLIGHT LITE MID MENS SHOES,MK82PV ,"The Air Flight Lite Mid men's shoe boasts a sleek, low-profile design with breathable mesh and supportive overlays.  Its lightweight construction and responsive cushioning ensure all-day comfort, perfect for urban explorers and active individuals seeking stylish, performance-driven footwear.  A modern take on classic basketball sneaker aesthetics.",464150,Nike,7,Adult
D9A66447,AIR FORCE   EASYON SHOES,vpmlK3 ,"Effortless style meets iconic comfort in the Nike Air Force 1 '07 Easy-On.  Its sleek, low-profile design features a simplified entry system for quick and convenient wear, perfect for everyday use.  Premium leather uppers and the signature Air cushioning provide superior support and all-day comfort for the modern, on-the-go individual.",419440,Nike,"4, 9",Adult
6B1D8850,AIR FORCE   EASYON WOMENS SHOES,q2Nz01 ,"Effortless style meets iconic comfort in the Nike Air Force 1 '07 Easy On.  These women's sneakers boast a streamlined silhouette with a convenient slip-on design, premium leather, and the signature Air cushioning for all-day wear.  Perfect for the modern woman seeking both comfort and timeless appeal.",420340,Nike,"7, 8, 9, 10, 12",Adult
